CUSTOMER_ID,AGE_GROUP,GENDER,INCOME_BRACKET,OCCUPATION,EDUCATION_LEVEL,CITY,STATE,OWNERSHIP_DURATION_MONTHS,FIRST_TIME_BUYER
1,55+,Other,10-20L,Salaried,Doctorate,Hyderabad,Delhi,40,Yes
2,26-35,Male,<5L,Student,Doctorate,Delhi,Rajasthan,53,Yes
3,46-55,Male,10-20L,Business Owner,High School,Mumbai,Tamil Nadu,38,Yes
4,18-25,Other,>50L,Student,High School,Mumbai,Uttar Pradesh,42,Yes
5,26-35,Male,<5L,Student,High School,Chennai,Karnataka,33,Yes
6,55+,Female,>50L,Salaried,Doctorate,Bangalore,Telangana,31,Yes
7,46-55,Male,<5L,Student,Doctorate,Mumbai,Telangana,57,No
8,36-45,Male,5-10L,Freelancer,High School,Delhi,Uttar Pradesh,43,Yes
9,36-45,Other,5-10L,Business Owner,Graduate,Bangalore,Rajasthan,44,Yes
10,55+,Other,<5L,Professional,High School,Delhi,Delhi,49,No
11,46-55,Male,<5L,Student,High School,Mumbai,West Bengal,57,Yes
12,46-55,Male,5-10L,Business Owner,Post-Graduate,Chennai,Gujarat,58,No
13,55+,Female,10-20L,Student,Doctorate,Bangalore,Rajasthan,23,No
14,36-45,Female,<5L,Business Owner,Graduate,Chennai,Uttar Pradesh,57,Yes
15,36-45,Other,10-20L,Retired,Doctorate,Hyderabad,Delhi,23,Yes
16,18-25,Other,<5L,Salaried,Post-Graduate,Bangalore,Uttar Pradesh,52,Yes
17,26-35,Other,<5L,Freelancer,Post-Graduate,Delhi,Rajasthan,21,Yes
18,26-35,Female,20-50L,Student,Graduate,Bangalore,Delhi,17,Yes
19,26-35,Male,5-10L,Student,Doctorate,Delhi,Delhi,24,No
20,46-55,Female,5-10L,Business Owner,Post-Graduate,Mumbai,Karnataka,44,No
21,26-35,Female,20-50L,Professional,High School,Bangalore,Karnataka,56,No
22,18-25,Male,5-10L,Salaried,High School,Chennai,Rajasthan,59,No
23,55+,Female,<5L,Student,Doctorate,Chennai,Uttar Pradesh,8,Yes
24,26-35,Male,20-50L,Retired,Doctorate,Mumbai,Tamil Nadu,12,No
25,26-35,Male,10-20L,Professional,Doctorate,Hyderabad,Gujarat,40,No
26,18-25,Female,>50L,Student,High School,Delhi,Punjab,30,Yes
27,55+,Male,>50L,Salaried,Post-Graduate,Delhi,Tamil Nadu,46,No
28,26-35,Other,5-10L,Business Owner,Doctorate,Bangalore,Gujarat,57,No
29,36-45,Other,5-10L,Salaried,High School,Hyderabad,Telangana,52,No
30,55+,Other,5-10L,Retired,High School,Bangalore,West Bengal,10,Yes
31,55+,Female,5-10L,Student,Graduate,Hyderabad,Punjab,32,Yes
32,18-25,Female,<5L,Student,Doctorate,Bangalore,Gujarat,2,No
33,36-45,Male,10-20L,Freelancer,Graduate,Hyderabad,Tamil Nadu,49,No
34,46-55,Female,<5L,Student,Post-Graduate,Delhi,Gujarat,59,No
35,26-35,Other,20-50L,Student,Doctorate,Hyderabad,Delhi,6,Yes
36,26-35,Male,10-20L,Professional,Doctorate,Delhi,Rajasthan,46,No
37,26-35,Female,20-50L,Salaried,Graduate,Mumbai,Delhi,39,No
38,26-35,Other,20-50L,Salaried,Doctorate,Mumbai,West Bengal,9,No
39,55+,Male,>50L,Business Owner,Graduate,Chennai,Tamil Nadu,34,No
40,18-25,Other,5-10L,Freelancer,High School,Hyderabad,Rajasthan,44,No
41,18-25,Male,<5L,Student,Doctorate,Bangalore,Delhi,48,No
42,26-35,Other,10-20L,Salaried,Doctorate,Hyderabad,West Bengal,51,No
43,46-55,Other,10-20L,Student,Doctorate,Delhi,Gujarat,50,Yes
44,18-25,Other,10-20L,Student,Post-Graduate,Bangalore,Gujarat,32,No
45,36-45,Male,<5L,Business Owner,Graduate,Hyderabad,West Bengal,47,No
46,55+,Other,5-10L,Business Owner,High School,Bangalore,Punjab,23,Yes
47,18-25,Female,20-50L,Professional,High School,Bangalore,Karnataka,38,No
48,46-55,Female,20-50L,Salaried,Graduate,Chennai,West Bengal,13,Yes
49,55+,Male,>50L,Salaried,High School,Chennai,Telangana,54,Yes
50,46-55,Other,>50L,Freelancer,Post-Graduate,Mumbai,Tamil Nadu,30,Yes
51,55+,Female,20-50L,Business Owner,Doctorate,Chennai,Karnataka,7,No
52,26-35,Other,<5L,Freelancer,Graduate,Delhi,West Bengal,49,Yes
53,36-45,Female,10-20L,Student,High School,Chennai,Delhi,1,Yes
54,18-25,Other,20-50L,Retired,High School,Hyderabad,Karnataka,60,Yes
55,55+,Other,20-50L,Salaried,Graduate,Bangalore,Maharashtra,8,No
56,36-45,Other,<5L,Professional,High School,Delhi,Uttar Pradesh,43,Yes
57,26-35,Other,>50L,Freelancer,Post-Graduate,Hyderabad,Delhi,17,No
58,55+,Female,<5L,Retired,High School,Delhi,Delhi,34,No
59,55+,Female,10-20L,Student,High School,Chennai,Gujarat,29,Yes
60,26-35,Other,10-20L,Freelancer,High School,Chennai,West Bengal,5,Yes
61,36-45,Other,>50L,Business Owner,High School,Chennai,West Bengal,13,No
62,36-45,Other,>50L,Salaried,Graduate,Delhi,West Bengal,45,No
63,36-45,Male,<5L,Freelancer,Post-Graduate,Delhi,Maharashtra,57,No
64,18-25,Other,10-20L,Retired,Graduate,Bangalore,Tamil Nadu,49,Yes
65,46-55,Female,5-10L,Retired,Graduate,Chennai,Rajasthan,26,No
66,18-25,Other,20-50L,Retired,High School,Hyderabad,Uttar Pradesh,12,No
67,55+,Male,>50L,Salaried,Doctorate,Bangalore,Maharashtra,42,Yes
68,36-45,Female,5-10L,Salaried,Graduate,Mumbai,West Bengal,12,Yes
69,55+,Other,5-10L,Salaried,Doctorate,Bangalore,Delhi,15,No
70,46-55,Male,<5L,Freelancer,High School,Mumbai,Maharashtra,25,No
71,36-45,Female,10-20L,Salaried,High School,Delhi,Uttar Pradesh,38,No
72,55+,Male,<5L,Business Owner,Doctorate,Bangalore,Uttar Pradesh,12,No
73,18-25,Female,10-20L,Retired,Graduate,Chennai,Gujarat,59,Yes
74,55+,Other,>50L,Salaried,Post-Graduate,Delhi,Uttar Pradesh,28,No
75,55+,Male,<5L,Student,High School,Mumbai,Maharashtra,25,Yes
76,46-55,Female,10-20L,Retired,Doctorate,Delhi,Tamil Nadu,2,Yes
77,26-35,Male,20-50L,Retired,High School,Hyderabad,Maharashtra,30,No
78,46-55,Other,10-20L,Freelancer,High School,Hyderabad,West Bengal,60,Yes
79,55+,Other,<5L,Professional,Doctorate,Bangalore,Delhi,2,No
80,36-45,Other,5-10L,Freelancer,Graduate,Delhi,Telangana,6,No
81,46-55,Female,5-10L,Business Owner,Graduate,Bangalore,Karnataka,31,Yes
82,18-25,Male,10-20L,Business Owner,Doctorate,Hyderabad,Karnataka,19,No
83,26-35,Female,>50L,Retired,Doctorate,Bangalore,Telangana,31,No
84,46-55,Female,>50L,Professional,Doctorate,Mumbai,Maharashtra,47,Yes
85,55+,Other,<5L,Student,Doctorate,Chennai,Delhi,39,No
86,46-55,Female,5-10L,Freelancer,Graduate,Delhi,Gujarat,6,Yes
87,55+,Male,<5L,Student,Post-Graduate,Delhi,Delhi,40,Yes
88,36-45,Male,>50L,Salaried,High School,Chennai,Punjab,2,No
89,55+,Female,>50L,Retired,Post-Graduate,Hyderabad,Telangana,23,No
90,46-55,Other,<5L,Business Owner,Post-Graduate,Bangalore,Uttar Pradesh,21,No
91,55+,Other,<5L,Business Owner,Post-Graduate,Hyderabad,Telangana,13,No
92,46-55,Male,10-20L,Business Owner,Doctorate,Chennai,Delhi,48,No
93,18-25,Male,>50L,Professional,High School,Mumbai,Karnataka,53,No
94,26-35,Other,5-10L,Student,Post-Graduate,Bangalore,Uttar Pradesh,57,No
95,26-35,Female,20-50L,Salaried,Post-Graduate,Delhi,Punjab,30,No
96,18-25,Other,>50L,Freelancer,Post-Graduate,Hyderabad,Punjab,11,Yes
97,36-45,Other,>50L,Freelancer,High School,Delhi,Gujarat,6,No
98,55+,Other,5-10L,Student,Post-Graduate,Hyderabad,Delhi,36,Yes
99,55+,Other,20-50L,Retired,Doctorate,Delhi,Karnataka,24,Yes
100,46-55,Male,5-10L,Freelancer,Graduate,Bangalore,Gujarat,45,No
101,36-45,Female,5-10L,Salaried,Doctorate,Chennai,Uttar Pradesh,40,Yes
102,46-55,Female,5-10L,Business Owner,Post-Graduate,Bangalore,Karnataka,7,No
103,46-55,Female,5-10L,Salaried,Post-Graduate,Hyderabad,Uttar Pradesh,33,Yes
104,36-45,Female,5-10L,Student,Post-Graduate,Chennai,West Bengal,53,No
105,46-55,Other,5-10L,Salaried,Post-Graduate,Delhi,Punjab,2,No
106,18-25,Other,5-10L,Business Owner,Doctorate,Delhi,Delhi,37,Yes
107,26-35,Male,5-10L,Professional,Post-Graduate,Delhi,Delhi,4,No
108,18-25,Male,5-10L,Freelancer,Graduate,Chennai,Punjab,1,No
109,46-55,Female,10-20L,Business Owner,Graduate,Mumbai,Rajasthan,40,No
110,36-45,Male,<5L,Freelancer,Post-Graduate,Bangalore,Gujarat,50,Yes
111,46-55,Female,<5L,Business Owner,Graduate,Mumbai,Rajasthan,31,No
112,18-25,Other,20-50L,Professional,Doctorate,Chennai,Telangana,20,No
113,55+,Other,>50L,Freelancer,Post-Graduate,Bangalore,Maharashtra,26,No
114,55+,Other,10-20L,Freelancer,Graduate,Mumbai,West Bengal,25,No
115,26-35,Male,5-10L,Freelancer,Graduate,Mumbai,Delhi,58,No
116,36-45,Other,>50L,Business Owner,Doctorate,Chennai,Punjab,26,Yes
117,36-45,Other,20-50L,Business Owner,High School,Hyderabad,Punjab,19,No
118,55+,Other,5-10L,Freelancer,High School,Hyderabad,Telangana,55,Yes
