SALES_ID,SALE_DATE,STATE,CITY,CITY_TIER,MODEL,STORAGE_GB,COLOR,UNITS_SOLD,UNIT_PRICE,CHANNEL,RETAILER_ID,QUARTER,YEAR,TOTAL_REVENUE
1,2022-11-16,Tamil Nadu,Chennai,Tier 3,iPhone 15 Pro,128,Silver,2,131403,Online,23,Q4,2022,262806
2,2023-12-12,Tamil Nadu,Madurai,Tier 1,iPhone 15,256,Gold,2,84668,Telecom Partner,26,Q4,2023,169336
3,2023-03-10,Tamil Nadu,Coimbatore,Tier 2,iPhone 14 Pro,128,Blue,3,132064,Authorized Reseller,42,Q1,2023,396192
4,2022-11-08,West Bengal,Siliguri,Tier 3,iPhone 15 Pro Max,1024,Blue,5,162630,Telecom Partner,25,Q4,2022,813150
5,2023-11-01,Punjab,Chandigarh,Tier 2,iPhone 13 Pro,256,Blue,3,119545,Telecom Partner,50,Q4,2023,358635
6,2022-08-06,Uttar Pradesh,Noida,Tier 3,iPhone 15 Pro Max,128,Purple,1,155100,Authorized Reseller,11,Q3,2022,155100
7,2022-05-10,Tamil Nadu,Madurai,Tier 3,iPhone 15 Pro Max,512,Silver,1,158948,Online,14,Q2,2022,158948
8,2023-12-08,Rajasthan,Udaipur,Tier 2,iPhone 14 Pro,1024,Green,3,130796,Retail Store,49,Q4,2023,392388
9,2022-05-08,Karnataka,Mangalore,Tier 1,iPhone 15 Pro,64,Gold,4,134438,Retail Store,31,Q2,2022,537752
10,2022-01-25,Telangana,Warangal,Tier 2,iPhone 15 Pro Max,256,Blue,2,161363,Authorized Reseller,47,Q1,2022,322726
11,2023-01-28,Maharashtra,Nagpur,Tier 1,iPhone 13 Pro,128,Blue,2,115877,Telecom Partner,17,Q1,2023,231754
12,2023-07-08,Uttar Pradesh,Kanpur,Tier 2,iPhone 14 Pro,1024,Purple,3,128546,Authorized Reseller,42,Q3,2023,385638
13,2022-04-23,Tamil Nadu,Madurai,Tier 2,iPhone 15 Pro Max,64,Purple,5,162102,Telecom Partner,34,Q2,2022,810510
14,2023-03-01,Rajasthan,Udaipur,Tier 2,iPhone 13 Pro,64,Blue,3,120864,Online,31,Q1,2023,362592
15,2022-12-18,Karnataka,Mangalore,Tier 3,iPhone 15,128,Green,5,78689,Authorized Reseller,25,Q4,2022,393445
16,2022-03-30,Maharashtra,Pune,Tier 1,iPhone 14 Pro,512,Purple,1,133537,Telecom Partner,33,Q1,2022,133537
17,2023-12-18,West Bengal,Kolkata,Tier 2,iPhone 14,1024,Midnight,1,70474,Online,20,Q4,2023,70474
18,2022-11-13,Telangana,Hyderabad,Tier 1,iPhone 14,128,Silver,5,69260,Authorized Reseller,24,Q4,2022,346300
19,2023-08-28,Karnataka,Bangalore,Tier 3,iPhone 14 Pro,512,Green,2,134786,Online,39,Q3,2023,269572
20,2023-12-20,Punjab,Amritsar,Tier 2,iPhone 14,256,Midnight,2,71259,Online,14,Q4,2023,142518
21,2022-08-16,Rajasthan,Udaipur,Tier 2,iPhone 15 Pro Max,1024,Silver,2,164665,Telecom Partner,20,Q3,2022,329330
22,2023-10-14,Gujarat,Ahmedabad,Tier 3,iPhone 13 Pro,256,Green,2,119962,Telecom Partner,17,Q4,2023,239924
23,2023-10-28,Maharashtra,Pune,Tier 3,iPhone 13 Pro,512,Midnight,3,123215,Online,30,Q4,2023,369645
24,2022-07-11,Uttar Pradesh,Kanpur,Tier 1,iPhone 14 Pro,512,Starlight,1,129021,Authorized Reseller,12,Q3,2022,129021
25,2023-05-20,Rajasthan,Jodhpur,Tier 1,iPhone 14 Pro,64,Silver,2,127652,Online,25,Q2,2023,255304
26,2023-12-18,Delhi,Gurgaon,Tier 1,iPhone 15,64,Green,5,79160,Telecom Partner,38,Q4,2023,395800
27,2022-04-14,Punjab,Chandigarh,Tier 1,iPhone 15,256,Pink,5,81219,Authorized Reseller,29,Q2,2022,406095
28,2023-01-11,Maharashtra,Mumbai,Tier 3,iPhone 15 Pro Max,512,Blue,5,158542,Authorized Reseller,30,Q1,2023,792710
29,2023-06-25,West Bengal,Siliguri,Tier 2,iPhone 15 Pro,64,Pink,5,130045,Retail Store,33,Q2,2023,650225
30,2022-06-12,Rajasthan,Jaipur,Tier 3,iPhone 13,256,Pink,5,56818,Telecom Partner,41,Q2,2022,284090
31,2023-05-12,Tamil Nadu,Coimbatore,Tier 2,iPhone 13,1024,Pink,4,60797,Telecom Partner,21,Q2,2023,243188
32,2023-03-06,West Bengal,Siliguri,Tier 3,iPhone 15 Pro,256,Starlight,4,135517,Authorized Reseller,21,Q1,2023,542068
33,2023-01-18,Rajasthan,Jaipur,Tier 3,iPhone 14,256,Green,4,72790,Telecom Partner,47,Q1,2023,291160
34,2022-05-12,Gujarat,Surat,Tier 2,iPhone 15 Pro Max,64,Starlight,1,155094,Retail Store,38,Q2,2022,155094
35,2022-12-22,Maharashtra,Nagpur,Tier 2,iPhone 13,64,Pink,5,59632,Authorized Reseller,12,Q4,2022,298160
36,2023-12-26,Gujarat,Surat,Tier 3,iPhone 15 Pro,64,Gold,2,139729,Authorized Reseller,22,Q4,2023,279458
37,2023-02-08,West Bengal,Kolkata,Tier 2,iPhone 13 Pro,256,Purple,2,124387,Retail Store,40,Q1,2023,248774
38,2022-01-26,Tamil Nadu,Madurai,Tier 1,iPhone 15 Pro Max,128,Starlight,1,159009,Retail Store,21,Q1,2022,159009
39,2022-06-25,Tamil Nadu,Chennai,Tier 2,iPhone 13 Pro,1024,Silver,4,121061,Authorized Reseller,42,Q2,2022,484244
40,2022-08-16,Karnataka,Mysore,Tier 3,iPhone 15,1024,Starlight,3,84147,Online,27,Q3,2022,252441
41,2022-12-30,Karnataka,Mysore,Tier 1,iPhone 13,256,Blue,4,61319,Retail Store,10,Q4,2022,245276
42,2023-01-21,Tamil Nadu,Chennai,Tier 2,iPhone 14 Pro,128,Midnight,1,125517,Retail Store,23,Q1,2023,125517
43,2022-06-09,Delhi,Noida,Tier 2,iPhone 14 Pro,256,Blue,1,129120,Online,8,Q2,2022,129120
44,2023-12-21,Karnataka,Bangalore,Tier 1,iPhone 13 Pro,64,Midnight,4,119799,Online,19,Q4,2023,479196
45,2022-02-25,West Bengal,Siliguri,Tier 2,iPhone 15,256,Blue,2,83904,Online,48,Q1,2022,167808
46,2023-10-16,Uttar Pradesh,Lucknow,Tier 3,iPhone 14 Pro,64,Pink,4,130580,Online,30,Q4,2023,522320
47,2023-08-22,West Bengal,Siliguri,Tier 1,iPhone 13 Pro,256,Purple,1,116871,Retail Store,47,Q3,2023,116871
48,2022-10-06,Telangana,Warangal,Tier 2,iPhone 14,256,Blue,2,66306,Authorized Reseller,42,Q4,2022,132612
49,2023-04-04,Tamil Nadu,Madurai,Tier 1,iPhone 15,256,Midnight,2,76037,Authorized Reseller,1,Q2,2023,152074
50,2022-04-11,Delhi,Noida,Tier 2,iPhone 14 Pro,512,Silver,1,133439,Retail Store,32,Q2,2022,133439
51,2022-04-27,Gujarat,Surat,Tier 2,iPhone 13,128,Starlight,3,58010,Telecom Partner,9,Q2,2022,174030
52,2022-06-15,Punjab,Ludhiana,Tier 1,iPhone 15 Pro,512,Gold,4,137326,Authorized Reseller,25,Q2,2022,549304
53,2023-04-14,Maharashtra,Nagpur,Tier 3,iPhone 15 Pro,256,Purple,3,136723,Telecom Partner,15,Q2,2023,410169
54,2022-12-09,Tamil Nadu,Chennai,Tier 2,iPhone 14,512,Midnight,3,65360,Online,9,Q4,2022,196080
55,2023-07-15,Rajasthan,Jaipur,Tier 1,iPhone 14,128,Silver,2,65484,Authorized Reseller,18,Q3,2023,130968
56,2023-04-29,West Bengal,Siliguri,Tier 2,iPhone 14,1024,Gold,3,66504,Telecom Partner,12,Q2,2023,199512
57,2023-02-15,West Bengal,Siliguri,Tier 3,iPhone 15,128,Midnight,3,83848,Online,39,Q1,2023,251544
58,2022-04-29,Maharashtra,Nagpur,Tier 1,iPhone 15,512,Silver,5,76450,Telecom Partner,34,Q2,2022,382250
59,2022-06-21,Tamil Nadu,Coimbatore,Tier 3,iPhone 14,64,Silver,1,69359,Retail Store,41,Q2,2022,69359
60,2022-03-08,Rajasthan,Jodhpur,Tier 1,iPhone 15 Pro Max,64,Midnight,2,155605,Retail Store,31,Q1,2022,311210
61,2022-05-28,West Bengal,Siliguri,Tier 1,iPhone 13 Pro,128,Green,3,123956,Telecom Partner,25,Q2,2022,371868
62,2023-12-23,Telangana,Hyderabad,Tier 2,iPhone 15 Pro,128,Gold,2,135345,Telecom Partner,40,Q4,2023,270690
63,2023-02-10,Tamil Nadu,Chennai,Tier 3,iPhone 15 Pro,128,Midnight,3,138280,Telecom Partner,19,Q1,2023,414840
64,2023-09-17,Maharashtra,Mumbai,Tier 1,iPhone 14 Pro,64,Pink,2,127043,Telecom Partner,38,Q3,2023,254086
65,2022-02-17,Uttar Pradesh,Noida,Tier 2,iPhone 14,512,Silver,4,65925,Authorized Reseller,25,Q1,2022,263700
66,2023-12-07,Gujarat,Vadodara,Tier 3,iPhone 14 Pro,128,Starlight,4,129398,Authorized Reseller,34,Q4,2023,517592
67,2022-01-06,Gujarat,Surat,Tier 3,iPhone 13,128,Midnight,1,62170,Telecom Partner,43,Q1,2022,62170
68,2023-04-22,Punjab,Ludhiana,Tier 2,iPhone 13,512,Pink,5,59180,Telecom Partner,37,Q2,2023,295900
69,2022-01-26,Delhi,Noida,Tier 2,iPhone 14,256,Blue,4,65665,Authorized Reseller,30,Q1,2022,262660
70,2022-05-01,Tamil Nadu,Madurai,Tier 3,iPhone 14 Pro,64,Midnight,2,133913,Telecom Partner,40,Q2,2022,267826
71,2023-12-24,Rajasthan,Udaipur,Tier 2,iPhone 14 Pro,512,Green,1,127074,Telecom Partner,50,Q4,2023,127074
72,2022-07-10,Rajasthan,Jodhpur,Tier 1,iPhone 13,256,Gold,1,60632,Authorized Reseller,11,Q3,2022,60632
73,2023-02-18,Gujarat,Vadodara,Tier 1,iPhone 15,1024,Purple,2,83567,Authorized Reseller,44,Q1,2023,167134
74,2022-07-24,Uttar Pradesh,Noida,Tier 2,iPhone 15 Pro,128,Gold,2,136782,Telecom Partner,10,Q3,2022,273564
75,2023-04-23,Gujarat,Vadodara,Tier 1,iPhone 14,1024,Blue,3,65882,Telecom Partner,22,Q2,2023,197646
76,2023-10-10,Karnataka,Mysore,Tier 2,iPhone 13,128,Midnight,4,63336,Online,14,Q4,2023,253344
77,2022-10-17,Tamil Nadu,Chennai,Tier 2,iPhone 13 Pro,256,Blue,1,123906,Telecom Partner,6,Q4,2022,123906
78,2023-07-19,Delhi,Gurgaon,Tier 3,iPhone 14 Pro,256,Silver,4,130652,Authorized Reseller,38,Q3,2023,522608
79,2022-03-25,Punjab,Ludhiana,Tier 3,iPhone 15,256,Starlight,5,79662,Retail Store,6,Q1,2022,398310
80,2023-01-22,Karnataka,Mysore,Tier 3,iPhone 14 Pro,1024,Green,4,127089,Online,20,Q1,2023,508356
81,2022-03-19,Maharashtra,Pune,Tier 2,iPhone 15 Pro Max,1024,Purple,1,163883,Retail Store,13,Q1,2022,163883
82,2022-10-31,Delhi,Noida,Tier 3,iPhone 14,64,Starlight,1,70018,Retail Store,9,Q4,2022,70018
83,2022-10-13,Maharashtra,Pune,Tier 1,iPhone 15 Pro,256,Silver,2,138334,Authorized Reseller,2,Q4,2022,276668
84,2022-12-31,Rajasthan,Jodhpur,Tier 3,iPhone 15 Pro,256,Purple,2,130271,Telecom Partner,18,Q4,2022,260542
85,2023-08-25,Karnataka,Mangalore,Tier 3,iPhone 14,256,Gold,5,69990,Online,20,Q3,2023,349950
86,2023-04-29,Tamil Nadu,Chennai,Tier 2,iPhone 13,128,Pink,3,62978,Telecom Partner,28,Q2,2023,188934
87,2023-01-05,Tamil Nadu,Madurai,Tier 1,iPhone 14,64,Blue,4,72511,Online,36,Q1,2023,290044
88,2022-07-12,Uttar Pradesh,Kanpur,Tier 1,iPhone 14 Pro,512,Midnight,4,130545,Authorized Reseller,10,Q3,2022,522180
89,2022-11-06,Karnataka,Mangalore,Tier 1,iPhone 15 Pro,1024,Pink,5,136968,Telecom Partner,16,Q4,2022,684840
90,2022-06-11,Telangana,Hyderabad,Tier 3,iPhone 15 Pro,128,Pink,5,137008,Telecom Partner,46,Q2,2022,685040
91,2023-12-27,Punjab,Ludhiana,Tier 2,iPhone 13,512,Gold,5,60452,Authorized Reseller,21,Q4,2023,302260
92,2023-05-05,Tamil Nadu,Chennai,Tier 2,iPhone 13 Pro,128,Purple,4,122887,Authorized Reseller,28,Q2,2023,491548
93,2022-07-02,Gujarat,Ahmedabad,Tier 2,iPhone 15 Pro,128,Gold,4,131461,Authorized Reseller,6,Q3,2022,525844
94,2022-09-29,Gujarat,Vadodara,Tier 1,iPhone 13 Pro,256,Green,4,117706,Authorized Reseller,40,Q3,2022,470824
95,2022-05-30,Telangana,Hyderabad,Tier 3,iPhone 14,1024,Midnight,1,67906,Retail Store,28,Q2,2022,67906
96,2023-01-06,Karnataka,Bangalore,Tier 3,iPhone 15,1024,Pink,1,80865,Authorized Reseller,46,Q1,2023,80865
97,2023-06-14,Telangana,Warangal,Tier 1,iPhone 15,1024,Pink,2,75905,Telecom Partner,32,Q2,2023,151810
98,2023-06-10,Rajasthan,Udaipur,Tier 2,iPhone 13 Pro,512,Midnight,4,115933,Authorized Reseller,42,Q2,2023,463732
99,2022-04-22,West Bengal,Kolkata,Tier 1,iPhone 13 Pro,1024,Green,1,115805,Online,42,Q2,2022,115805
100,2023-01-08,Telangana,Warangal,Tier 3,iPhone 15 Pro,1024,Green,4,135326,Authorized Reseller,9,Q1,2023,541304
101,2022-11-20,Delhi,New Delhi,Tier 3,iPhone 13,64,Gold,2,59708,Telecom Partner,15,Q4,2022,119416
102,2023-02-15,West Bengal,Siliguri,Tier 2,iPhone 15,1024,Starlight,3,83859,Online,35,Q1,2023,251577
103,2022-10-20,Karnataka,Bangalore,Tier 3,iPhone 14,512,Gold,2,66173,Telecom Partner,18,Q4,2022,132346
104,2023-03-15,Rajasthan,Udaipur,Tier 2,iPhone 15 Pro,128,Gold,3,135457,Retail Store,38,Q1,2023,406371
105,2022-04-21,Punjab,Chandigarh,Tier 1,iPhone 13,256,Starlight,4,59672,Retail Store,19,Q2,2022,238688
106,2022-04-14,Punjab,Chandigarh,Tier 1,iPhone 15 Pro,1024,Gold,3,132887,Retail Store,34,Q2,2022,398661
107,2022-11-25,West Bengal,Kolkata,Tier 3,iPhone 15 Pro Max,128,Starlight,4,161254,Retail Store,47,Q4,2022,645016
108,2022-02-17,Telangana,Hyderabad,Tier 2,iPhone 13 Pro,1024,Gold,1,119968,Retail Store,25,Q1,2022,119968
109,2023-09-15,Karnataka,Mangalore,Tier 1,iPhone 14,1024,Silver,3,74013,Retail Store,36,Q3,2023,222039
110,2022-03-16,Rajasthan,Jodhpur,Tier 1,iPhone 15 Pro Max,1024,Starlight,3,163761,Telecom Partner,36,Q1,2022,491283
111,2022-11-21,Rajasthan,Jodhpur,Tier 3,iPhone 14 Pro,1024,Green,1,125967,Telecom Partner,10,Q4,2022,125967
112,2022-10-19,Gujarat,Vadodara,Tier 3,iPhone 15 Pro,512,Starlight,2,137253,Authorized Reseller,40,Q4,2022,274506
113,2023-06-09,Rajasthan,Jaipur,Tier 1,iPhone 13,256,Midnight,3,61851,Authorized Reseller,6,Q2,2023,185553
114,2022-08-31,Punjab,Ludhiana,Tier 2,iPhone 13 Pro,1024,Pink,3,122369,Telecom Partner,16,Q3,2022,367107
115,2022-01-22,Punjab,Ludhiana,Tier 3,iPhone 13,64,Gold,5,64874,Online,15,Q1,2022,324370
116,2022-04-14,West Bengal,Kolkata,Tier 2,iPhone 13 Pro,512,Gold,5,116164,Retail Store,2,Q2,2022,580820
117,2022-05-18,Gujarat,Ahmedabad,Tier 1,iPhone 14 Pro,256,Green,1,129330,Online,32,Q2,2022,129330
118,2023-11-23,Tamil Nadu,Madurai,Tier 2,iPhone 13,512,Gold,2,57055,Telecom Partner,48,Q4,2023,114110
119,2023-01-13,West Bengal,Siliguri,Tier 1,iPhone 13,1024,Starlight,3,64513,Online,32,Q1,2023,193539
120,2023-12-14,Karnataka,Mangalore,Tier 1,iPhone 13 Pro,64,Starlight,4,123663,Telecom Partner,12,Q4,2023,494652
121,2023-06-14,Tamil Nadu,Coimbatore,Tier 3,iPhone 14 Pro,256,Green,5,132943,Online,39,Q2,2023,664715
122,2023-12-22,Delhi,New Delhi,Tier 3,iPhone 15 Pro Max,256,Gold,5,159850,Retail Store,17,Q4,2023,799250
123,2023-04-17,Uttar Pradesh,Kanpur,Tier 1,iPhone 15 Pro,128,Blue,2,135628,Retail Store,39,Q2,2023,271256
124,2023-09-05,Uttar Pradesh,Kanpur,Tier 2,iPhone 15 Pro Max,128,Pink,4,164551,Online,24,Q3,2023,658204
125,2022-03-14,Maharashtra,Nagpur,Tier 1,iPhone 15 Pro,1024,Silver,1,134746,Authorized Reseller,30,Q1,2022,134746
126,2022-07-02,Gujarat,Ahmedabad,Tier 2,iPhone 15,128,Green,5,82754,Retail Store,26,Q3,2022,413770
127,2023-09-07,Maharashtra,Pune,Tier 1,iPhone 14,64,Blue,4,68646,Authorized Reseller,2,Q3,2023,274584
128,2023-04-11,Rajasthan,Jaipur,Tier 1,iPhone 15 Pro Max,64,Green,3,158460,Online,6,Q2,2023,475380
129,2023-10-23,Karnataka,Bangalore,Tier 1,iPhone 15,1024,Purple,1,79410,Retail Store,13,Q4,2023,79410
